
> model_egb
eXtreme Gradient Boosting 

6929 samples
  37 predictor
   2 classes: 'Acer', 'Sony' 

No pre-processing
Resampling: Bootstrapped (12 reps) 
Summary of sample sizes: 5774, 5775, 5774, 5774, 5774, 5774, ... 
Resampling results across tuning parameters:

  eta  max_depth  colsample_bytree  subsample  nrounds  ROC        Sens       Spec     
  0.3  1          0.6               0.50        50      0.7847144  0.6495611  0.7689183
  0.3  1          0.6               0.50       100      0.7805679  0.6396436  0.7785515
  0.3  1          0.6               0.50       150      0.7809150  0.6350631  0.7787837
  0.3  1          0.6               0.75        50      0.7868286  0.6522334  0.7728644
  0.3  1          0.6               0.75       100      0.7839463  0.6438394  0.7787837
  0.3  1          0.6               0.75       150      0.7831192  0.6383053  0.7801764
  0.3  1          0.6               1.00        50      0.7885789  0.6491854  0.7758821
  0.3  1          0.6               1.00       100      0.7868308  0.6386902  0.7785515
  0.3  1          0.6               1.00       150      0.7866826  0.6358280  0.7806407
  0.3  1          0.8               0.50        50      0.7865338  0.6571958  0.7685701
  0.3  1          0.8               0.50       100      0.7830051  0.6436508  0.7749536
  0.3  1          0.8               0.50       150      0.7823076  0.6421275  0.7772748
  0.3  1          0.8               0.75        50      0.7865843  0.6564374  0.7703110
  0.3  1          0.8               0.75       100      0.7828460  0.6451803  0.7769266
  0.3  1          0.8               0.75       150      0.7831444  0.6400303  0.7807567
  0.3  1          0.8               1.00        50      0.7900142  0.6470886  0.7759981
  0.3  1          0.8               1.00       100      0.7874057  0.6365934  0.7795961
  0.3  1          0.8               1.00       150      0.7867510  0.6362107  0.7806407
  0.3  2          0.6               0.50        50      0.8821224  0.8016287  0.8130223
  0.3  2          0.6               0.50       100      0.9412763  0.8836464  0.8666435
  0.3  2          0.6               0.50       150      0.9528955  0.8948956  0.8803389
  0.3  2          0.6               0.75        50      0.8829205  0.7915027  0.8201021
  0.3  2          0.6               0.75       100      0.9355655  0.8811508  0.8662953
  0.3  2          0.6               0.75       150      0.9559184  0.8971852  0.8926416
  0.3  2          0.6               1.00        50      0.8786570  0.8050406  0.8042015
  0.3  2          0.6               1.00       100      0.9328174  0.8865038  0.8479573
  0.3  2          0.6               1.00       150      0.9423067  0.8969932  0.8667595
  0.3  2          0.8               0.50        50      0.9439687  0.8987108  0.8649025
  0.3  2          0.8               0.50       100      0.9655147  0.9099626  0.9126045
  0.3  2          0.8               0.50       150      0.9698087  0.9067208  0.9193361
  0.3  2          0.8               0.75        50      0.9353119  0.8815453  0.8510910
  0.3  2          0.8               0.75       100      0.9593139  0.8960354  0.9007660
  0.3  2          0.8               0.75       150      0.9658077  0.9036689  0.9088904
  0.3  2          0.8               1.00        50      0.9235182  0.8672493  0.8348422
  0.3  2          0.8               1.00       100      0.9532497  0.9032888  0.8782498
  0.3  2          0.8               1.00       150      0.9646417  0.9072907  0.9020427
  0.3  3          0.6               0.50        50      0.9488966  0.8945107  0.8762767
  0.3  3          0.6               0.50       100      0.9697622  0.9053842  0.9208449
  0.3  3          0.6               0.50       150      0.9723344  0.8968004  0.9266481
  0.3  3          0.6               0.75        50      0.9397636  0.8794476  0.8679201
  0.3  3          0.6               0.75       100      0.9666904  0.9061492  0.9142293
  0.3  3          0.6               0.75       150      0.9731387  0.9040516  0.9259517
  0.3  3          0.6               1.00        50      0.9313944  0.8470091  0.8689647
  0.3  3          0.6               1.00       100      0.9624834  0.9002381  0.9016945
  0.3  3          0.6               1.00       150      0.9699678  0.8998545  0.9199164
  0.3  3          0.8               0.50        50      0.9645622  0.9101538  0.9095868
  0.3  3          0.8               0.50       100      0.9725773  0.9063412  0.9243268
  0.3  3          0.8               0.50       150      0.9739801  0.8996643  0.9285051
  0.3  3          0.8               0.75        50      0.9688556  0.9164471  0.9138812
  0.3  3          0.8               0.75       100      0.9747835  0.9030955  0.9238626
  0.3  3          0.8               0.75       150      0.9758963  0.8992820  0.9267642
  0.3  3          0.8               1.00        50      0.9585080  0.8977547  0.8915970
  0.3  3          0.8               1.00       100      0.9724286  0.9069107  0.9246750
  0.3  3          0.8               1.00       150      0.9753674  0.8990896  0.9256035
  0.4  1          0.6               0.50        50      0.7853770  0.6562393  0.7675255
  0.4  1          0.6               0.50       100      0.7823701  0.6438394  0.7755339
  0.4  1          0.6               0.50       150      0.7815784  0.6354471  0.7782033
  0.4  1          0.6               0.75        50      0.7857877  0.6526174  0.7713556
  0.4  1          0.6               0.75       100      0.7830543  0.6430766  0.7777391
  0.4  1          0.6               0.75       150      0.7813513  0.6352542  0.7799443
  0.4  1          0.6               1.00        50      0.7866874  0.6491823  0.7734448
  0.4  1          0.6               1.00       100      0.7855309  0.6371611  0.7770427
  0.4  1          0.6               1.00       150      0.7849719  0.6377345  0.7786676
  0.4  1          0.8               0.50        50      0.7859785  0.6493717  0.7754178
  0.4  1          0.8               0.50       100      0.7818334  0.6396432  0.7791318
  0.4  1          0.8               0.50       150      0.7817594  0.6287706  0.7822656
  0.4  1          0.8               0.75        50      0.7856409  0.6468940  0.7730966
  0.4  1          0.8               0.75       100      0.7829034  0.6369726  0.7792479
  0.4  1          0.8               0.75       150      0.7811714  0.6364036  0.7818013
  0.4  1          0.8               1.00        50      0.7875743  0.6440300  0.7748375
  0.4  1          0.8               1.00       100      0.7862585  0.6388787  0.7770427
  0.4  1          0.8               1.00       150      0.7853726  0.6386893  0.7787837
  0.4  2          0.6               0.50        50      0.9193940  0.8340428  0.8553853
  0.4  2          0.6               0.50       100      0.9499254  0.8756219  0.8878830
  0.4  2          0.6               0.50       150      0.9601500  0.8914592  0.9054085
  0.4  2          0.6               0.75        50      0.9237052  0.8662797  0.8443593
  0.4  2          0.6               0.75       100      0.9596311  0.9025229  0.9000696
  0.4  2          0.6               0.75       150      0.9651522  0.9029056  0.9107474
  0.4  2          0.6               1.00        50      0.9062532  0.8414711  0.8267177
  0.4  2          0.6               1.00       100      0.9431982  0.8906995  0.8705896
  0.4  2          0.6               1.00       150      0.9634628  0.9004249  0.9095868
  0.4  2          0.8               0.50        50      0.9361929  0.8685562  0.8685005
  0.4  2          0.8               0.50       100      0.9600363  0.8935586  0.9054085
  0.4  2          0.8               0.50       150      0.9684462  0.8985157  0.9202646
  0.4  2          0.8               0.75        50      0.9439679  0.8912689  0.8621170
  0.4  2          0.8               0.75       100      0.9657240  0.9036675  0.9072656
  0.4  2          0.8               0.75       150      0.9700040  0.8983281  0.9191040
  0.4  2          0.8               1.00        50      0.9462756  0.8926112  0.8683844
  0.4  2          0.8               1.00       100      0.9669305  0.9051940  0.9091226
  0.4  2          0.8               1.00       150      0.9723384  0.8973729  0.9227019
  0.4  3          0.6               0.50        50      0.9595836  0.9008080  0.9027391
  0.4  3          0.6               0.50       100      0.9668938  0.8962274  0.9195682
  0.4  3          0.6               0.50       150      0.9703301  0.8935581  0.9238626
  0.4  3          0.6               0.75        50      0.9557328  0.8918471  0.8946147
  0.4  3          0.6               0.75       100      0.9706498  0.9059581  0.9220056
  0.4  3          0.6               0.75       150      0.9730671  0.9019526  0.9264160
  0.4  3          0.6               1.00        50      0.9549403  0.8876532  0.8925255
  0.4  3          0.6               1.00       100      0.9681455  0.8990900  0.9159703
  0.4  3          0.6               1.00       150      0.9723197  0.8964190  0.9236305
  0.4  3          0.8               0.50        50      0.9683306  0.9036680  0.9150418
  0.4  3          0.8               0.50       100      0.9735024  0.8973711  0.9259517
  0.4  3          0.8               0.50       150      0.9734873  0.8906960  0.9276927
  0.4  3          0.8               0.75        50      0.9709204  0.9072894  0.9210771
  0.4  3          0.8               0.75       100      0.9747806  0.8996621  0.9239786
  0.4  3          0.8               0.75       150      0.9750437  0.8960371  0.9273445
  0.4  3          0.8               1.00        50      0.9659686  0.9042405  0.9090065
  0.4  3          0.8               1.00       100      0.9751894  0.9000426  0.9256035
  0.4  3          0.8               1.00       150      0.9758486  0.8962305  0.9257196

Tuning parameter 'gamma' was held constant at a value of 0
Tuning parameter 'min_child_weight' was held constant at a value of 1
ROC was used to select the optimal model using the largest value.
The final values used for the model were nrounds = 150, max_depth = 3, eta = 0.3, gamma = 0, colsample_bytree = 0.8, min_child_weight =
 1 and subsample = 0.75.

> sink()
